Token	LmAoA	LmCutoff	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
a	2.52272434074168	10.5794002574663	14.1367015838623	0.618015110492706	20.4485250661444	0.710275448788271	2.52272434074168	0.607857944759179
about	3.14818248512224	9.72570855976633	15.0770473480225	1.16317868232727	18.2564144201504	1.19500269938226	3.14818248512224	0.643321179271861
above	3.81473448992766	10.9414722598539	16.0037841796875	4.0325026512146	18.3020773445209	3.58086717518696	3.81473448992766	0.823400424496916
after	3.37479264086041	9.59122572283234	14.5634832382202	2.15913891792297	17.0906620125139	2.09178943315079	3.37479264086041	0.704845198617667
airplane	4.81730183359881	12.0699534051257	17.2972183227539	7.92302751541138	16.3757439563802	7.76416285387127	4.81730183359881	0.546177907135494
all	3.08293398042112	10.3128109345728	15.23854637146	1.84612095355988	18.9779356337766	1.64768623536901	3.08293398042112	0.749152927092723
alligator	4.66394657650884	13.6638709377212	18.4789352416992	9.18329524993896	17.4513350270538	9.87640684838859	4.66394657650884	0.373997762862645
am	3.44949930550004	9.63873278182795	16.3424224853516	1.53779900074005	17.3036614919766	1.97380407167929	3.44949930550004	0.408171615708176
and	2.35573671063747	10.5607397770248	12.7225866317749	0.794520437717438	20.4393355972441	0.682143956805596	2.35573671063747	0.752793247106079
animal	4.20502601929261	11.3607383642182	15.8870248794556	6.09116792678833	16.5046034247765	6.2168733036598	4.20502601929261	0.593319739176004
ankle	4.5318922652846	10.9357791628135	16.3297996520996	5.83103036880493	15.8574036260734	6.01415469955364	4.5318922652846	0.524392174968088
another	3.14175692015885	11.6298955606679	15.5666046142578	3.76088523864746	19.8147824006866	3.44500872064911	3.14175692015885	0.895335378147578
any	3.44410987548908	9.55458973410752	14.7009525299072	2.08812308311462	16.8956967877579	2.21348268045714	3.44410987548908	0.608732106771509
apple	4.8041984776921	10.6813755811991	16.9574661254883	6.30679607391357	15.7045631253309	5.65818803706727	4.8041984776921	0.557752961408321
are	3.38578686072789	7.87374430607323	14.7820377349854	0.736572921276093	14.794282637214	0.953205974932459	3.38578686072789	0.371669592724844
arm	3.60266441239296	9.26683917751835	13.7200956344604	2.80848264694214	15.7740358347181	2.7596425203186	3.60266441239296	0.696063428082444
around	3.35771419666284	8.87996951806825	13.9731960296631	2.0614013671875	15.7526550230351	2.00728401310141	3.35771419666284	0.718002404346981
asleep	3.97386532374974	9.39245269290659	16.2951202392578	2.51477932929993	15.796205762213	2.98869962360019	3.97386532374974	0.391266898326597
at	2.8524278424229	10.776953050536	16.3833637237549	0.865058541297913	20.5897004573823	0.964205643689642	2.8524278424229	0.578678595356416
aunt	4.211396021142	9.87401252972365	14.8699626922607	4.21509599685669	15.113340966203	4.63468409324431	4.211396021142	0.452577261256074
awake	4.22458775476461	10.1403084524117	15.6873664855957	4.78876495361328	15.5040710475878	4.77654585723565	4.22458775476461	0.57644714725877
away	3.40869458063398	8.51731540354734	13.642749786377	1.57657253742218	15.104758051804	1.92987275529068	3.40869458063398	0.533915759173569
baby	3.45812485546295	11.8186550917507	15.7909526824951	5.30701398849487	18.5503012164847	5.08700896701672	3.45812485546295	0.86045819650709
babysitter	4.77716927210852	13.5470193608938	18.4001579284668	9.96677207946777	16.1492038591609	10.9448348626268	4.77716927210852	0.380777254746219
back	2.78681634657953	11.0349864956118	14.7072305679321	1.92416262626648	20.1065042219129	1.96346876931063	2.78681634657953	0.740304859486209
backyard	4.23780099071017	12.2949806867174	16.8712387084961	7.07148551940918	17.098132524836	7.49182884859886	4.23780099071017	0.515071378435064
