Token	LmAoA	LmCutoff	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
a	2.76822161739214	9.13562413943035	14.8288593292236	3.39857339859009	34.742007429601	3.43280272584537	1.78057742903737	0.65760498426024
about	3.46302539901366	9.35850772154552	14.9235877990723	3.84434056282043	19.5037578708541	3.35432065846491	3.02482165158884	0.83539214531248
above	3.99158130683457	11.6375064541124	15.1306715011597	8.4023380279541	15.4411866328907	8.00433875872694	3.95882251466533	0.714256964312214
after	3.19716913000034	11.1251094032548	14.8096837997437	7.37754392623901	30.6457313041451	6.92809859644098	1.37687578803668	1.18423958573112
airplane	5.0004104830331	13.326003043773	17.9010562896729	11.7793312072754	16.7637001874553	11.8270621069775	4.66982185403466	0.398278921379457
all	2.97808324518061	10.7186665226243	14.8973827362061	6.56465816497803	31.0536543409307	6.47920055072624	1.63003892678904	0.859773887815758
alligator	5.36575686069098	14.1883620907091	18.9098815917969	13.5040493011475	17.182904418056	13.6712254036774	4.96694426502814	0.227083267555667
am	3.69334295002127	10.444079845073	16.6019077301025	6.01548480987549	15.5304563061854	6.10345722644368	3.63404128744374	0.374029981987635
and	2.73176287906381	9.08249422800762	14.870415687561	3.29231357574463	15.3136020801234	3.68215614337559	2.71988006995486	0.0830428027910492
animal	4.35789818249398	12.1115836788438	15.6677274703979	9.35049247741699	15.4710662274354	9.43349942288602	4.26127409999692	0.426247771458358
ankle	4.58642639891277	12.0191263843797	18.9043502807617	9.16557788848877	17.3115722198699	9.0373542741863	4.29245045363129	0.512365035630533
another	3.59823075449963	10.9476399112962	15.3423147201538	7.02260494232178	18.8149167852076	6.44842786602542	3.05490939548595	0.972283320377028
any	3.49192291492043	10.5714883495591	14.8918790817261	6.27030181884766	17.2921353290703	6.06407146752516	3.20530916277125	0.71750266705777
apple	4.7763993804375	12.7598442722581	16.3529987335205	10.6470136642456	15.6356169199044	10.5477510010702	4.67167559326267	0.399126970376481
are	3.49272756420791	9.31109616053325	14.9137020111084	3.7495174407959	15.467494058015	3.58597179301992	3.45291461013446	0.548179573343921
arm	3.78135695181152	9.981112210872	14.8547410964966	5.08954954147339	13.5574490544997	5.13321668450346	3.92157775601415	0.460940827768808
around	3.35435361252047	9.92732116472942	14.8712091445923	4.98196744918823	20.9899599459212	4.29181144926861	2.66340934630409	1.02440126332757
asleep	4.32063915155728	9.86466881525737	15.2166128158569	4.85666275024414	15.1267976709672	5.07995905552876	4.29210163435513	0.300046537043762
at	2.94862326754233	9.86528083574993	14.9000158309937	4.85788679122925	28.4687613041621	4.76041914019452	1.95413704783151	0.769038490433614
aunt	4.23323985131998	12.5555329014085	14.9223251342773	10.2383909225464	14.5120646239393	10.4517702857296	4.25432396323419	0.290598542989514
awake	4.53212635704012	11.4761395145677	16.3207302093506	8.07960414886475	15.4850364220051	7.89155907715701	4.48119420705992	0.455260728524668
away	3.58093155104364	9.66268822443706	14.8570241928101	4.45270156860352	17.1767735056107	3.91297246886182	3.36824879444009	0.794692856119387
baby	3.85507195038559	11.6085662533067	14.8961524963379	8.34445762634277	14.7325915971555	8.40569912425508	3.86686308206283	0.473082645187435
babysitter	5.02075454816211	13.6078767467759	18.9004859924316	12.3430786132812	16.7179135825041	12.6239449649074	4.76079171176343	0.225890961306098
back	3.18712708938184	9.8743576694749	14.8939723968506	4.8760404586792	23.565364495546	4.59978570414956	2.35442882113049	0.872994242776063
backyard	4.49820470027817	12.1068472553514	18.4128704071045	9.34101963043213	17.2318797747994	9.69876533629547	4.22827446422703	0.357378493369589
bad	3.78857937208045	11.199077098491	14.8733558654785	7.52547931671143	15.0414279562254	7.39695038517383	3.78230512667696	0.596195224264013
ball	4.2130361198617	12.0624503780625	14.9065809249878	9.25222587585449	15.3815230815494	8.90766655091961	4.17800658294297	0.690026955127527
balloon	4.9914020760214	13.3274311710618	18.6213798522949	11.782187461853	17.2944615201017	11.8820092696034	4.59652367257448	0.39111720931437
banana	5.08892854539626	13.9768199611925	17.97607421875	13.0809650421143	17.0146328016801	13.2780045756492	4.72028015847112	0.250865438121557
basement	4.3478329733871	11.9256753612779	17.4558067321777	8.97867584228516	16.6888290451108	9.18669574900452	4.13050821973607	0.392761819975846
basket	4.63325674344155	11.8754677463792	16.7576446533203	8.87826061248779	15.6269563481158	8.94631095172946	4.54397137765428	0.36083916470925
bat	4.75710043081196	13.3509368587755	15.7440319061279	11.8291988372803	15.190889484165	11.8835863352315	4.68376162365652	0.324104422328381
bath	4.66481691048475	12.1974944759629	17.4090385437012	9.52231407165527	16.3825598432839	9.2467907243933	4.48594999958035	0.511810737202511
bathroom	4.07690289702139	10.540675132396	16.5578918457031	6.20867538452148	15.9789356710324	6.35152499419771	3.95906673675745	0.451546367635835
bathtub	4.8790627549558	13.0765299488328	18.4808330535889	11.280385017395	16.650298943874	11.4896793000407	4.60595946105936	0.336388188129542
be	3.26095263034577	8.83181521189434	14.8940343856812	2.79095554351807	16.8283773768762	2.69386518712067	3.12670075420972	0.507528415463934
beach	4.22779590053851	11.365629165294	15.9434013366699	7.85858345031738	15.7695321435172	7.87232196160278	4.11202498153796	0.499783200407252
beads	4.94027188792854	13.6037745167039	17.6404361724854	12.3348741531372	16.700167715963	12.5085046862421	4.61278510111311	0.315122272270644
beans	4.84201748711131	11.8432655025743	17.1995048522949	8.81385612487793	9.08067156481496	16.6025580351168	4.69029235596675	-0.278942918406897
bear	4.40842538185282	12.3096260715745	15.8243713378906	9.74657726287842	15.301902002582	9.56576807933059	4.36284914899503	0.525863496043419
because	3.23966058692907	11.180609672191	14.8509864807129	7.48854446411133	22.3548979735298	7.20568284750511	2.22598252308192	0.98071703447183
bed	3.87191243887048	9.76051375162822	15.6372833251953	4.64835262298584	16.0128116843679	4.42736645787631	3.77654552879138	0.599763540461482
bedroom	4.10653510690915	10.4717607189439	14.7978973388672	6.07084655761719	14.7377361768099	6.23320728814356	4.10400393750272	0.392500683586243
bee	5.53548085774533	14.402135818126	17.6431312561035	13.9315967559814	16.6822799402881	14.031536539765	4.94212357979363	0.326581670860871
before	3.24123494577873	10.6978997875474	14.90598487854	6.52312469482422	26.1049965623925	6.08642710509016	1.97454775360064	1.05007640891135
behind	3.65030892641993	10.7361931492112	15.1084232330322	6.59971141815186	17.8829925510745	5.84120378426758	3.28529781269936	0.964483250303112
belly	4.13805803199072	11.5648021389268	14.93092918396	8.25692939758301	14.738013748044	8.54397446271673	4.12014956277682	0.363894595296077
belt	4.53487095263094	11.1505856205247	16.3363742828369	7.42849636077881	15.849723780647	6.8982963599872	4.47929765885551	0.556168783537592
