Token	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
a	14.8288593292236	3.39857339859009	34.742007429601	3.43280272584537	1.78057742903737	0.65760498426024
about	14.9235877990723	3.84434056282043	19.5037578708541	3.35432065846491	3.02482165158884	0.83539214531248
above	15.1306715011597	8.4023380279541	15.4411866328907	8.00433875872694	3.95882251466533	0.714256964312214
after	14.8096837997437	7.37754392623901	30.6457313041451	6.92809859644098	1.37687578803668	1.18423958573112
airplane	17.9010562896729	11.7793312072754	16.7637001874553	11.8270621069775	4.66982185403466	0.398278921379457
all	14.8973827362061	6.56465816497803	31.0536543409307	6.47920055072624	1.63003892678904	0.859773887815758
alligator	18.9098815917969	13.5040493011475	17.182904418056	13.6712254036774	4.96694426502814	0.227083267555667
am	16.6019077301025	6.01548480987549	15.5304563061854	6.10345722644368	3.63404128744374	0.374029981987635
and	14.870415687561	3.29231357574463	15.3136020801234	3.68215614337559	2.71988006995486	0.0830428027910492
animal	15.6677274703979	9.35049247741699	15.4710662274354	9.43349942288602	4.26127409999692	0.426247771458358
ankle	18.9043502807617	9.16557788848877	17.3115722198699	9.0373542741863	4.29245045363129	0.512365035630533
another	15.3423147201538	7.02260494232178	18.8149167852076	6.44842786602542	3.05490939548595	0.972283320377028
any	14.8918790817261	6.27030181884766	17.2921353290703	6.06407146752516	3.20530916277125	0.71750266705777
apple	16.3529987335205	10.6470136642456	15.6356169199044	10.5477510010702	4.67167559326267	0.399126970376481
are	14.9137020111084	3.7495174407959	15.467494058015	3.58597179301992	3.45291461013446	0.548179573343921
arm	14.8547410964966	5.08954954147339	13.5574490544997	5.13321668450346	3.92157775601415	0.460940827768808
around	14.8712091445923	4.98196744918823	20.9899599459212	4.29181144926861	2.66340934630409	1.02440126332757
asleep	15.2166128158569	4.85666275024414	15.1267976709672	5.07995905552876	4.29210163435513	0.300046537043762
at	14.9000158309937	4.85788679122925	28.4687613041621	4.76041914019452	1.95413704783151	0.769038490433614
aunt	14.9223251342773	10.2383909225464	14.5120646239393	10.4517702857296	4.25432396323419	0.290598542989514
awake	16.3207302093506	8.07960414886475	15.4850364220051	7.89155907715701	4.48119420705992	0.455260728524668
away	14.8570241928101	4.45270156860352	17.1767735056107	3.91297246886182	3.36824879444009	0.794692856119387
baby	14.8961524963379	8.34445762634277	14.7325915971555	8.40569912425508	3.86686308206283	0.473082645187435
babysitter	18.9004859924316	12.3430786132812	16.7179135825041	12.6239449649074	4.76079171176343	0.225890961306098
back	14.8939723968506	4.8760404586792	23.565364495546	4.59978570414956	2.35442882113049	0.872994242776063
backyard	18.4128704071045	9.34101963043213	17.2318797747994	9.69876533629547	4.22827446422703	0.357378493369589
bad	14.8733558654785	7.52547931671143	15.0414279562254	7.39695038517383	3.78230512667696	0.596195224264013
ball	14.9065809249878	9.25222587585449	15.3815230815494	8.90766655091961	4.17800658294297	0.690026955127527
balloon	18.6213798522949	11.782187461853	17.2944615201017	11.8820092696034	4.59652367257448	0.39111720931437
banana	17.97607421875	13.0809650421143	17.0146328016801	13.2780045756492	4.72028015847112	0.250865438121557
basement	17.4558067321777	8.97867584228516	16.6888290451108	9.18669574900452	4.13050821973607	0.392761819975846
basket	16.7576446533203	8.87826061248779	15.6269563481158	8.94631095172946	4.54397137765428	0.36083916470925
bat	15.7440319061279	11.8291988372803	15.190889484165	11.8835863352315	4.68376162365652	0.324104422328381
bath	17.4090385437012	9.52231407165527	16.3825598432839	9.2467907243933	4.48594999958035	0.511810737202511
