Token	LmAoA	LmCutoff	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
a	2.88193482326438	7.74534499538166	14.1367015838623	0.618015110492706	20.4485250661444	0.710275448788271	2.52272434074168	0.607857944759179
about	3.40928454132871	8.01792678129894	15.0770473480225	1.16317868232727	18.2564144201504	1.19500269938226	3.14818248512224	0.643321179271861
above	4.15250305401052	9.4525887657426	16.0037841796875	4.0325026512146	18.3020773445209	3.58086717518696	3.81473448992766	0.823400424496916
after	3.57832597652149	8.51590689909679	14.5634832382202	2.15913891792297	17.0906620125139	2.09178943315079	3.37479264086041	0.704845198617667
airplane	4.98921594807068	11.397851197841	17.2972183227539	7.92302751541138	16.3757439563802	7.76416285387127	4.81730183359881	0.546177907135494
all	3.42660586474732	8.35939791691524	15.23854637146	1.84612095355988	18.9779356337766	1.64768623536901	3.08293398042112	0.749152927092723
alligator	5.00971202300529	12.0279850651048	18.4789352416992	9.18329524993896	17.4513350270538	9.87640684838859	4.66394657650884	0.373997762862645
am	3.60399020933913	8.20523694050533	16.3424224853516	1.53779900074005	17.3036614919766	1.97380407167929	3.44949930550004	0.408171615708176
and	2.78244736330763	7.83359765899402	12.7225866317749	0.794520437717438	20.4393355972441	0.682143956805596	2.35573671063747	0.752793247106079
animal	4.40976833203519	10.4819214035295	15.8870248794556	6.09116792678833	16.5046034247765	6.2168733036598	4.20502601929261	0.593319739176004
ankle	4.65691421932864	10.3518526245378	16.3297996520996	5.83103036880493	15.8574036260734	6.01415469955364	4.5318922652846	0.524392174968088
another	3.66197241389329	9.31678005945903	15.5666046142578	3.76088523864746	19.8147824006866	3.44500872064911	3.14175692015885	0.895335378147578
any	3.62354389141748	8.48039898169261	14.7009525299072	2.08812308311462	16.8956967877579	2.21348268045714	3.44410987548908	0.608732106771509
apple	4.82455137536775	10.5897354770921	16.9574661254883	6.30679607391357	15.7045631253309	5.65818803706727	4.8041984776921	0.557752961408321
are	3.39321137192592	7.80462390077335	14.7820377349854	0.736572921276093	14.794282637214	0.953205974932459	3.38578686072789	0.371669592724844
arm	3.6939878458748	8.84057876360637	13.7200956344604	2.80848264694214	15.7740358347181	2.7596425203186	3.60266441239296	0.696063428082444
around	3.44409768565063	8.46703812372905	13.9731960296631	2.0614013671875	15.7526550230351	2.00728401310141	3.35771419666284	0.718002404346981
asleep	4.05959034763464	8.69372710478527	16.2951202392578	2.51477932929993	15.796205762213	2.98869962360019	3.97386532374974	0.391266898326597
at	3.20602615830553	7.86886671078426	16.3833637237549	0.865058541297913	20.5897004573823	0.964205643689642	2.8524278424229	0.578678595356416
aunt	4.26850494833248	9.54388543856365	14.8699626922607	4.21509599685669	15.113340966203	4.63468409324431	4.211396021142	0.452577261256074
awake	4.29120517088945	9.83071991694194	15.6873664855957	4.78876495361328	15.5040710475878	4.77654585723565	4.22458775476461	0.57644714725877
away	3.45617147739529	8.22462370884639	13.642749786377	1.57657253742218	15.104758051804	1.92987275529068	3.40869458063398	0.533915759173569
baby	3.91020814646385	10.0898444343827	15.7909526824951	5.30701398849487	18.5503012164847	5.08700896701672	3.45812485546295	0.86045819650709
babysitter	5.13041116885148	12.4197234798692	18.4001579284668	9.96677207946777	16.1492038591609	10.9448348626268	4.77716927210852	0.380777254746219
back	3.22991516006207	8.39841875326854	14.7072305679321	1.92416262626648	20.1065042219129	1.96346876931063	2.78681634657953	0.740304859486209
backyard	4.52904605747728	10.9720801998399	16.8712387084961	7.07148551940918	17.098132524836	7.49182884859886	4.23780099071017	0.515071378435064
bad	3.83931609900193	9.29921564352733	15.2143497467041	3.72575640678406	17.0997447807003	3.67637985645574	3.610554356603	0.698817588984944
ball	4.40117319966056	10.1652953315995	14.8309288024902	5.45791578292847	15.7165266921862	3.67923445670746	4.54279678294693	0.909968939625849
balloon	5.12967655500705	11.6194352794908	18.1339092254639	8.36619567871094	16.5824205329546	7.174005101026	5.05825263814755	0.648537265750829
banana	4.8352575452246	11.8918876339219	17.7385330200195	8.91110038757324	16.5393328281921	9.59756256843016	4.55081113166884	0.402967702669607
basement	4.41493061053098	10.6205026794694	16.1064167022705	6.36833047866821	15.4257837481159	7.2509424437529	4.20685416327551	0.586240994911143
basket	4.53285543788683	10.6855494667314	17.424768447876	6.49842405319214	16.8301085412835	6.87567159950556	4.296682118119	0.494117605378501
bat	4.90850976700377	10.471880166652	15.6908502578735	6.07108545303345	15.5232108588591	4.52715945768811	5.00521760511976	0.59383940248211
bath	4.64823433439028	10.6817726780198	15.6691646575928	6.49087047576904	16.2535919297109	6.00671376456759	4.530219885848	0.672524207380001
bathroom	3.96994991361478	9.3886661220811	14.8968801498413	3.9046573638916	15.3829546769686	4.42235111475477	3.87689263224745	0.494646152793064
bathtub	4.91529852578461	11.7253489185594	17.46484375	8.57802295684814	16.6831564782676	9.0766302321408	4.60057070396828	0.502048240654272
be	3.20792414963333	7.70090782535297	14.0621004104614	0.529140770435333	14.6656869861075	0.727802169160039	3.20843657594465	0.428880199811792
beach	4.25246787325886	10.0572583366655	14.578914642334	5.2418417930603	15.2933463478515	4.92108668568505	4.23913241986012	0.692151448095783
beads	4.54570204786935	10.2125610996507	17.0895328521729	5.55244731903076	16.8418710715008	6.06367976913397	4.34407936432305	0.430209171637399
beans	4.75977594284156	10.5684220482133	17.1368064880371	6.26416921615601	16.2714999287069	6.69090265488506	4.56618074304206	0.501788454968547
bear	4.53761472406808	10.5017053772233	14.6386833190918	6.13073587417603	15.0772314259395	5.44872597778407	4.60039489163002	0.632505148601972
