Token	LmAoA	LmCutoff	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
a	2.58489204847581	8.93680366766674	13.3705615997314	3.00093245506287	20.5744417227427	3.17317459585703	2.24047895597443	0.490144124973571
about	3.12716654951843	9.04893943560344	15.326681137085	3.22520399093628	19.2238305713853	3.34860702122769	2.80926138317519	0.548681337711874
above	3.70879008670121	10.9192018200181	15.7824773788452	6.96572875976562	17.645129117493	6.83045659608066	3.33884644852538	0.743259187139874
after	3.09235098626783	10.6814448524736	14.5419549942017	6.49021482467651	21.3911823891509	6.41788546651617	2.31882924665747	0.839826887191608
airplane	4.6099133651224	12.3845581699632	16.6047058105469	9.89644145965576	16.1609358152509	10.2669767499712	4.36653960891161	0.420704730608105
all	2.8210981385482	10.4069814373277	14.7505588531494	5.94128799438477	28.9571344808228	5.96468425429767	1.71696056490629	0.772498859236266
alligator	4.94247833692599	12.9679708172105	17.6090602874756	11.0632667541504	16.5147499262964	11.3905883039077	4.6789106822429	0.325282509009983
am	3.15263846347894	10.1850287605546	14.7670621871948	5.49738264083862	16.1301628423728	5.79951986619686	3.02676110080095	0.413706358618971
and	2.36862214479362	8.94009730112773	12.0420150756836	3.00751972198486	26.272234695412	3.13653091222662	1.76472681701535	0.551961386950965
animal	3.96499934456837	11.4338931728624	16.1311378479004	7.9951114654541	17.0580662416897	8.19044723274278	3.64355225221887	0.583984618454088
ankle	4.18983177095531	10.9855572868608	15.7306327819824	7.09843969345093	16.3530343517662	7.28519325334499	3.97668407303335	0.573090489659484
another	3.2965936272414	10.4098217178605	14.6413660049438	5.94696855545044	17.7796165427186	5.86469089600926	2.94398787748569	0.729529103695299
any	3.1310315682952	10.1830017257951	14.3217792510986	5.49332857131958	17.6286677723137	5.52254131976209	2.81947616806151	0.66498080969155
apple	4.34527512059955	12.0792741466783	16.1876487731934	9.28587341308594	16.010387421014	9.50149762950882	4.16207818243748	0.434120648539765
are	3.04056488152144	9.10200807345134	15.8304071426392	3.33134126663208	17.963011474539	3.51736420368661	2.84042594060624	0.433539609577468
arm	3.3175637725006	9.46355292093975	14.9255723953247	4.05443096160889	18.2595367283774	4.28046284111985	3.01626197021517	0.569682977853335
around	3.15432016954108	9.52003762018901	15.7742614746094	4.16740036010742	20.1848689642321	4.25469435951118	2.71607928957153	0.620909114047387
