Token	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
a	14.1367015838623	0.618015110492706	20.4485250661444	0.710275448788271	2.52272434074168	0.607857944759179
about	15.0770473480225	1.16317868232727	18.2564144201504	1.19500269938226	3.14818248512224	0.643321179271861
above	16.0037841796875	4.0325026512146	18.3020773445209	3.58086717518696	3.81473448992766	0.823400424496916
after	14.5634832382202	2.15913891792297	17.0906620125139	2.09178943315079	3.37479264086041	0.704845198617667
airplane	17.2972183227539	7.92302751541138	16.3757439563802	7.76416285387127	4.81730183359881	0.546177907135494
all	15.23854637146	1.84612095355988	18.9779356337766	1.64768623536901	3.08293398042112	0.749152927092723
alligator	18.4789352416992	9.18329524993896	17.4513350270538	9.87640684838859	4.66394657650884	0.373997762862645
am	16.3424224853516	1.53779900074005	17.3036614919766	1.97380407167929	3.44949930550004	0.408171615708176
and	12.7225866317749	0.794520437717438	20.4393355972441	0.682143956805596	2.35573671063747	0.752793247106079
animal	15.8870248794556	6.09116792678833	16.5046034247765	6.2168733036598	4.20502601929261	0.593319739176004
ankle	16.3297996520996	5.83103036880493	15.8574036260734	6.01415469955364	4.5318922652846	0.524392174968088
another	15.5666046142578	3.76088523864746	19.8147824006866	3.44500872064911	3.14175692015885	0.895335378147578
any	14.7009525299072	2.08812308311462	16.8956967877579	2.21348268045714	3.44410987548908	0.608732106771509
apple	16.9574661254883	6.30679607391357	15.7045631253309	5.65818803706727	4.8041984776921	0.557752961408321
are	14.7820377349854	0.736572921276093	14.794282637214	0.953205974932459	3.38578686072789	0.371669592724844
arm	13.7200956344604	2.80848264694214	15.7740358347181	2.7596425203186	3.60266441239296	0.696063428082444
around	13.9731960296631	2.0614013671875	15.7526550230351	2.00728401310141	3.35771419666284	0.718002404346981
asleep	16.2951202392578	2.51477932929993	15.796205762213	2.98869962360019	3.97386532374974	0.391266898326597
at	16.3833637237549	0.865058541297913	20.5897004573823	0.964205643689642	2.8524278424229	0.578678595356416
aunt	14.8699626922607	4.21509599685669	15.113340966203	4.63468409324431	4.211396021142	0.452577261256074
awake	15.6873664855957	4.78876495361328	15.5040710475878	4.77654585723565	4.22458775476461	0.57644714725877
away	13.642749786377	1.57657253742218	15.104758051804	1.92987275529068	3.40869458063398	0.533915759173569
baby	15.7909526824951	5.30701398849487	18.5503012164847	5.08700896701672	3.45812485546295	0.86045819650709
babysitter	18.4001579284668	9.96677207946777	16.1492038591609	10.9448348626268	4.77716927210852	0.380777254746219
back	14.7072305679321	1.92416262626648	20.1065042219129	1.96346876931063	2.78681634657953	0.740304859486209
backyard	16.8712387084961	7.07148551940918	17.098132524836	7.49182884859886	4.23780099071017	0.515071378435064
bad	15.2143497467041	3.72575640678406	17.0997447807003	3.67637985645574	3.610554356603	0.698817588984944
ball	14.8309288024902	5.45791578292847	15.7165266921862	3.67923445670746	4.54279678294693	0.909968939625849
balloon	18.1339092254639	8.36619567871094	16.5824205329546	7.174005101026	5.05825263814755	0.648537265750829
banana	17.7385330200195	8.91110038757324	16.5393328281921	9.59756256843016	4.55081113166884	0.402967702669607
basement	16.1064167022705	6.36833047866821	15.4257837481159	7.2509424437529	4.20685416327551	0.586240994911143
basket	17.424768447876	6.49842405319214	16.8301085412835	6.87567159950556	4.296682118119	0.494117605378501
bat	15.6908502578735	6.07108545303345	15.5232108588591	4.52715945768811	5.00521760511976	0.59383940248211
bath	15.6691646575928	6.49087047576904	16.2535919297109	6.00671376456759	4.530219885848	0.672524207380001
bathroom	14.8968801498413	3.9046573638916	15.3829546769686	4.42235111475477	3.87689263224745	0.494646152793064
bathtub	17.46484375	8.57802295684814	16.6831564782676	9.0766302321408	4.60057070396828	0.502048240654272
be	14.0621004104614	0.529140770435333	14.6656869861075	0.727802169160039	3.20843657594465	0.428880199811792
beach	14.578914642334	5.2418417930603	15.2933463478515	4.92108668568505	4.23913241986012	0.692151448095783
beads	17.0895328521729	5.55244731903076	16.8418710715008	6.06367976913397	4.34407936432305	0.430209171637399
beans	17.1368064880371	6.26416921615601	16.2714999287069	6.69090265488506	4.56618074304206	0.501788454968547
bear	14.6386833190918	6.13073587417603	15.0772314259395	5.44872597778407	4.60039489163002	0.632505148601972
because	14.9859390258789	2.69509387016296	18.1351946194511	2.74263858251618	3.21570444991655	0.689467095390394
bed	14.9129371643066	2.51178240776062	17.0019439143206	2.58970984801821	3.49892920500205	0.693052773325484
bedroom	14.4242124557495	4.26712846755981	14.8308408815767	4.80416090703316	3.87454364130071	0.438021808533467
bee	16.9417514801025	8.55505180358887	15.8909071869825	3.12326860260984	5.8604024313536	0.581137375906695
before	14.6088552474976	2.05873346328735	16.9700622802157	1.99648196006242	3.39031373195715	0.703912912072603
behind	15.3909587860107	2.37728953361511	18.7518910829013	2.13431940345828	3.32837846426564	0.772044048825595
belly	16.4939880371094	5.97302532196045	19.8161008316299	5.0236536249722	3.55812804924322	1.06955936927419
belt	15.4008178710938	4.65659618377686	15.8305407288181	3.77352962538281	4.50369144246372	0.695886512869455
bench	16.2985439300537	5.5809497833252	16.5879499273337	5.93235802949045	4.07547135507037	0.558202746242251
beside	15.3370199203491	2.65739870071411	15.7998939196973	3.46450172611108	3.67656592701097	0.383108919781648
better	16.5189018249512	2.76211166381836	17.0546923080709	2.55963208925552	3.60475445513197	0.700151667027292
bib	18.6688632965088	7.6242470741272	17.5015444411874	6.72524923325384	5.15989397665267	0.424760499754049
bicycle	17.6623821258545	8.5603084564209	16.6876559723417	8.93819486751535	4.6627235281338	0.437278849853758
