Token	LmAoA	LmCutoff	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
a	2.84280027471193	7.906150131347	14.7362232208252	0.939625382423401	24.9021780376746	0.928157613633219	2.32934223655039	0.576777610753565
about	3.39325842107605	8.45141002428752	15.0728845596313	2.03014516830444	17.9006737396831	1.92105828769775	3.16882905147823	0.607426080560187
above	3.99461435183551	10.1890256096147	14.9158315658569	5.50537633895874	15.4341074563182	5.17161890729966	3.9658368307406	0.64846894739505
after	3.43620564151018	9.05128058684093	14.8019218444824	3.22988629341125	15.6901820120449	2.90851871309309	3.38198841978766	0.698027485744468
airplane	4.83439219277912	12.2281193424485	18.3305511474609	9.58356380462646	16.5480745678725	9.5362572553559	4.63538886071504	0.420715313457975
all	3.37457948788435	8.8406080890916	14.8657579421997	2.8085412979126	18.6072011232494	2.41937304644358	3.06132494382728	0.746987372730236
alligator	4.95413440341394	12.7693838764451	18.9502964019775	10.6660928726196	17.742364210365	10.8098391751308	4.63314276994069	0.344667841486586
am	3.65882788052273	8.51777824652416	14.9826240539551	2.16288161277771	14.2735864771694	2.31649373414734	3.68650984088737	0.371335782083972
and	2.82740589314368	8.19372960818035	14.8774156570435	1.51478433609009	26.3743167935517	1.60821646829635	2.24749320425406	0.57107128956044
animal	4.35711148882511	11.2326242615007	16.0963859558105	7.59257364273071	15.745751603866	7.49618436458077	4.25937471352271	0.517517141243007
ankle	4.55021740698513	11.1288997818254	16.0880870819092	7.38512468338013	15.1507261939348	7.3204375425427	4.52668440591084	0.431713942047821
another	3.51509588773189	9.89712116015178	14.8600273132324	4.92156744003296	15.8651588062565	4.45042513904755	3.44544018550712	0.762022524437157
any	3.52827484042438	8.89559778464061	14.858790397644	2.91852068901062	15.9612430542349	2.82822597455861	3.44024540591883	0.577928832997433
apple	4.71734843751429	11.358503787639	15.7606801986694	7.84433269500732	15.3968830297099	7.67634806394995	4.67996171880822	0.404858898389528
are	3.42085997050737	8.0167390395425	14.8677492141724	1.16080319881439	14.3297410499362	1.09367659540393	3.45873701360734	0.410605035086848
arm	3.66012323073743	9.24031492960674	15.552321434021	3.60795497894287	16.6416674405934	3.52610239178647	3.50413405382891	0.602958657507359
