word	word_count	mean_sent_length	final_count	solo_count
basket	741.0	8.01484480431849	507.0	8.0
boogie_nose	4.0	1.75	4.0	1.0
dza	5.0	3.6	2.0	0.0
dollar's	1.0	3.0	0.0	0.0
mug	24.0	5.958333333333333	18.0	0.0
thirtieth	16.0	7.6875	9.0	0.0
horsey	4.0	5.5	2.0	0.0
singled	1.0	20.0	0.0	0.0
mar_kuh	1.0	9.0	0.0	0.0
mmhu	1.0	1.0	1.0	1.0
urrr	1.0	1.0	1.0	1.0
baskin_robbin	1.0	11.0	0.0	0.0
leeny_levey_heeny	1.0	13.0	0.0	0.0
grammatically	1.0	6.0	1.0	0.0
risks	1.0	5.0	1.0	0.0
tatawassa	1.0	1.0	1.0	1.0
rid	217.0	10.050691244239632	1.0	0.0
presbyterian	2.0	6.0	0.0	0.0
propeller	66.0	9.015151515151516	27.0	2.0
regroupin	1.0	6.0	1.0	0.0
chickie	110.0	4.472727272727273	61.0	22.0
grampy	38.0	6.342105263157895	15.0	3.0
walleye	1.0	5.0	0.0	0.0
fluffs	1.0	4.0	0.0	0.0
duhmee	1.0	30.0	0.0	0.0
discontent	1.0	4.0	1.0	0.0
didide	2.0	1.5	2.0	1.0
erli's	1.0	13.0	0.0	0.0
kidnap	7.0	6.571428571428571	1.0	0.0
bush	107.0	8.700934579439252	67.0	0.0
cronin	1.0	13.0	1.0	0.0
leisure	1.0	12.0	1.0	0.0
the_beautiful_lion	1.0	1.0	1.0	1.0
salmon	18.0	7.277777777777778	7.0	1.0
asi	1.0	13.0	0.0	0.0
barbaric	1.0	5.0	0.0	0.0
putnum	1.0	7.0	0.0	0.0
else've	1.0	6.0	0.0	0.0
few	1260.0	11.47063492063492	54.0	2.0
tp's	3.0	5.666666666666667	0.0	0.0
weakling	1.0	8.0	0.0	0.0
shins	1.0	17.0	0.0	0.0
microbiology	2.0	6.5	0.0	0.0
toing	3.0	4.0	1.0	0.0
cannibalism	1.0	6.0	0.0	0.0
porcupines	9.0	5.777777777777778	5.0	2.0
appreciate	73.0	6.575342465753424	5.0	0.0
catastrophe	4.0	5.5	1.0	0.0
protects	13.0	7.846153846153846	0.0	0.0
deli	3.0	7.333333333333333	3.0	0.0
cologne	4.0	9.25	2.0	0.0
fr	13.0	7.0	4.0	3.0
chex	9.0	4.333333333333333	6.0	2.0
bahrskah	1.0	2.0	1.0	0.0
patina	2.0	5.0	2.0	0.0
gargamell	5.0	5.0	1.0	0.0
danner	1.0	2.0	0.0	0.0
explanatory	1.0	4.0	0.0	0.0
libra	1.0	5.0	0.0	0.0
triple_a	2.0	4.5	1.0	0.0
timers	1.0	6.0	1.0	0.0
phooo	1.0	10.0	0.0	0.0
yum_yum	57.0	2.508771929824561	44.0	19.0
infitity	1.0	1.0	1.0	1.0
petey	18.0	4.166666666666667	13.0	4.0
carrie's	1.0	3.0	0.0	0.0
huhmm	1.0	2.0	0.0	0.0
healy	2.0	5.0	1.0	0.0
bonk	146.0	4.136986301369863	68.0	45.0
awes	1.0	7.0	0.0	0.0
see_saw_marjorie_daw	1.0	11.0	1.0	0.0
biscuity	1.0	17.0	0.0	0.0
toy's	6.0	8.5	1.0	0.0
rhinostros	1.0	3.0	1.0	0.0
natasha	4.0	3.0	3.0	2.0
majestic	2.0	2.0	2.0	1.0
caves	29.0	8.03448275862069	18.0	0.0
cast	53.0	10.358490566037736	20.0	2.0
affirmations	1.0	35.0	0.0	0.0
joshie	2.0	1.5	2.0	1.0
baah	2.0	1.0	2.0	2.0
fixing	219.0	6.378995433789954	17.0	1.0
doodle	19.0	6.947368421052632	5.0	0.0
grundy	2.0	4.5	2.0	0.0
jabba's	5.0	18.0	0.0	0.0
whoo_oo	1.0	1.0	1.0	1.0
hawii	1.0	2.0	1.0	0.0
aislinn's	1.0	6.0	0.0	0.0
crop	3.0	6.666666666666667	1.0	0.0
thirs	1.0	3.0	1.0	0.0
file	28.0	13.464285714285714	7.0	0.0
sharon's	5.0	22.2	1.0	0.0
mousey_mouse	4.0	5.5	0.0	0.0
dressy	5.0	8.0	2.0	1.0
panicking	1.0	14.0	0.0	0.0
docky	1.0	8.0	0.0	0.0
eyeball	35.0	6.6	17.0	2.0
walace	2.0	4.5	2.0	0.0
pussy's	1.0	8.0	0.0	0.0
regan's	1.0	3.0	0.0	0.0
curling	7.0	9.0	0.0	0.0
squidward's	1.0	7.0	0.0	0.0
whitewater	2.0	5.0	1.0	1.0
gatorade	9.0	4.111111111111111	7.0	1.0
hamburg	2.0	11.0	0.0	0.0
county	11.0	10.909090909090908	4.0	0.0
calming	2.0	12.0	0.0	0.0
eeoc	2.0	1.0	2.0	2.0
dessert	435.0	7.657471264367816	311.0	14.0
evoke	4.0	18.0	0.0	0.0
erroo	2.0	2.0	2.0	1.0
infectious	1.0	2.0	0.0	0.0
josé	1.0	3.0	1.0	0.0
greatly	11.0	10.454545454545455	1.0	0.0
bleachers	4.0	13.25	2.0	0.0
elmo	234.0	4.799145299145299	136.0	28.0
feeders	2.0	23.5	1.0	0.0
brow	4.0	7.25	2.0	0.0
batma	1.0	1.0	1.0	1.0
puppy's	46.0	6.391304347826087	1.0	0.0
bitmap	1.0	5.0	0.0	0.0
blondie'is	1.0	7.0	0.0	0.0
crystals	4.0	5.5	1.0	0.0
mycitracin	1.0	5.0	0.0	0.0
doolalala	1.0	1.0	1.0	1.0
dimitris	4.0	7.25	0.0	0.0
relaxing	16.0	9.0	10.0	2.0
salting	1.0	11.0	0.0	0.0
shor	1.0	24.0	0.0	0.0
