Steps	Accuracy	Loss	UniformXent	UniformKL	UnigramXent	UnigramKL	BidirBigramXent	BidirBigramKL	ForwardBigramXent	ForwardBigramKL	BackwardBigramXent	BackwardBigramKL
100	6.103515625e-05	14.876166969537735	14.873286075890064	0.0004223063588142395	14.875851012766361	5.237286902964115	14.876323267817497	10.325892513617873	14.877525381743908	8.148342665284872	14.875068977475166	8.227250549942255
200	6.103515625e-05	14.863036632537842	14.873297065496445	0.00043329596519470215	14.864707678556442	5.226143568754196	14.863463781774044	10.31303302757442	14.865104883909225	8.13592216745019	14.862777993083	8.214959565550089
300	0.06866455078125	14.834823183715343	14.873400636017323	0.0005368664860725403	14.840878613293171	5.202314503490925	14.835835047066212	10.285404292866588	14.838525965809822	8.109343249350786	14.83629709482193	8.188478667289019
400	0.07208251953125	14.729314483702183	14.8746302947402	0.0017665252089500427	14.75143612921238	5.112872019410133	14.732610486447811	10.182179732248187	14.73961155116558	8.010428834706545	14.736484937369823	8.088666509836912
500	0.07208251953125	12.776211187243462	15.318902783095837	0.44603901356458664	13.06034954637289	3.4217854365706444	12.828885838389397	8.278455084189773	12.84615258127451	6.116969864815474	12.911087363958359	6.2632689364254475
600	0.07208251953125	11.283349931240082	15.905499197542667	1.0326354280114174	11.659549474716187	2.0209853649139404	11.368391089141369	6.817960334941745	11.368297308683395	4.6391145922243595	11.534611567854881	4.88679314032197
700	0.07208251953125	10.605893425643444	16.228907018899918	1.3560432493686676	11.001316241919994	1.3627521321177483	10.701197028160095	6.150766273960471	10.693946979939938	3.9647642634809017	10.90554204583168	4.257723618298769
800	0.07208251953125	10.203609988093376	16.457189708948135	1.5843259394168854	10.602604746818542	0.9640406370162964	10.303984321653843	5.753553567454219	10.292055077850819	3.5628723613917828	10.532614059746265	3.884795632213354
900	0.072021484375	9.94038288295269	16.680407389998436	1.807543620467186	10.339775756001472	0.7012116461992264	10.04201340675354	5.491582652553916	10.03032261133194	3.301139894872904	10.286811016499996	3.638992588967085
1000	0.07196044921875	9.773710817098618	16.872028157114983	1.9991643875837326	10.166951648890972	0.528387539088726	9.875578470528126	5.325147716328502	9.862870655953884	3.1336879394948483	10.128337249159813	3.4805188216269016
1500	0.0802001953125	9.406180389225483	17.398319467902184	2.5254556983709335	9.835483960807323	0.19691985100507736	9.503971613943577	4.953540859743953	9.500238865613937	2.7710561491549015	9.800765357911587	3.1529469303786755
2000	0.07928466796875	9.276304714381695	17.556814908981323	2.6839511394500732	9.772078782320023	0.1335146725177765	9.368835590779781	4.818404836580157	9.380135849118233	2.650953132659197	9.7044463083148	3.056627880781889
2500	0.08038330078125	9.241982266306877	17.610661774873734	2.7377980053424835	9.768520563840866	0.12995645403862	9.335279725492	4.7848489712923765	9.346637658774853	2.617454942315817	9.68938272446394	3.0415642969310284
3000	0.0806884765625	9.222702786326408	17.694560423493385	2.8216966539621353	9.768860526382923	0.13029641658067703	9.316214814782143	4.765784060582519	9.330317839980125	2.6011351235210896	9.681086041033268	3.0332676135003567
3500	0.08251953125	9.204284206032753	17.748421773314476	2.875558003783226	9.774641044437885	0.1360769346356392	9.300607860088348	4.750177105888724	9.31818787008524	2.5890051536262035	9.672795318067074	3.0249768905341625
4000	0.0806884765625	9.17685367166996	17.789415687322617	2.9165519177913666	9.791888698935509	0.15332458913326263	9.28194846957922	4.731517715379596	9.3127850741148	2.5836023576557636	9.67259856313467	3.024780135601759
4500	0.0838623046875	9.133342742919922	17.88250957429409	3.0096458047628403	9.820406831800938	0.18184272199869156	9.254480436444283	4.7040496822446585	9.306471027433872	2.5772883109748363	9.68480196595192	3.0369835384190083
5000	0.117919921875	8.888737302273512	18.01334658265114	3.1404828131198883	9.893527887761593	0.25496377795934677	9.02805132418871	4.477620569989085	9.092475473880768	2.363292757421732	9.713114634156227	3.065296206623316
5500	0.14208984375	8.626720007508993	18.194408535957336	3.3215447664260864	10.158799707889557	0.5202355980873108	8.782316751778126	4.231885997578502	8.891863912343979	2.162681195884943	9.914238527417183	3.2664200998842716
6000	0.16094970703125	8.419877659529448	18.43487659096718	3.5620128214359283	10.438885405659676	0.8003212958574295	8.593186546117067	4.042755791917443	8.737306661903858	2.0081239454448223	10.095016732811928	3.4471983052790165
6500	0.17803955078125	8.145723950117826	18.666865557432175	3.7940017879009247	10.829864040017128	1.191299930214882	8.341674294322729	3.791243540123105	8.532868653535843	1.803685937076807	10.272202901542187	3.6243844740092754
7000	0.19024658203125	7.938962649554014	18.719912961125374	3.847049191594124	11.17236565053463	1.5338015407323837	8.16926447302103	3.6188337188214064	8.390965525060892	1.6617828086018562	10.481608726084232	3.833790298551321
7500	0.1971435546875	7.782059010118246	18.679948940873146	3.807085171341896	11.408044956624508	1.7694808468222618	8.040916796773672	3.490486042574048	8.286513358354568	1.5573306418955326	10.648266799747944	4.000448372215033
8000	0.20184326171875	7.6306547820568085	18.784037545323372	3.911173775792122	11.585802964866161	1.9472388550639153	7.924022786319256	3.3735920321196318	8.205542169511318	1.4763594530522823	10.792751386761665	4.144932959228754
8500	0.2095947265625	7.491575468331575	19.00297549366951	4.13011172413826	11.765426307916641	2.126862198114395	7.828377686440945	3.2779469322413206	8.150135081261396	1.4209523648023605	10.91709390282631	4.269275475293398
9000	0.2152099609375	7.371727924793959	19.095945701003075	4.223081931471825	11.911255829036236	2.2726917192339897	7.742260091006756	3.1918293368071318	8.09730800241232	1.3681252859532833	10.986901700496674	4.339083272963762
9500	0.219482421875	7.26537599042058	19.201546773314476	4.328683003783226	12.05403496325016	2.415470853447914	7.682209149003029	3.131778394803405	8.06962701305747	1.3404442965984344	11.080171220004559	4.432352792471647
10000	0.22552490234375	7.163408614695072	19.326501458883286	4.4536376893520355	12.19351863861084	2.5549545288085938	7.616039149463177	3.0656083952635527	8.033567074686289	1.304384358227253	11.15877927839756	4.510960850864649
11000	0.23492431640625	7.006350412964821	19.614092245697975	4.741228476166725	12.482261754572392	2.8436976447701454	7.543768510222435	2.993337756022811	8.01086324825883	1.2816805317997932	11.343999214470387	4.696180786937475
12000	0.24041748046875	6.898247092962265	19.7238971889019	4.851033419370651	12.64402948319912	3.0054653733968735	7.50960586220026	2.959175108000636	8.006377812474966	1.2771950960159302	11.44494841247797	4.797129984945059
13000	0.24609375	6.801041875034571	19.908171251416206	5.035307481884956	12.738652370870113	3.1000882610678673	7.474648334085941	2.9242175798863173	8.020279727876186	1.2910970114171505	11.517440281808376	4.869621854275465
14000	0.2529296875	6.722954876720905	20.03691193461418	5.1640481650829315	12.86753099411726	3.228966884315014	7.457212548702955	2.906781794503331	8.031759690493345	1.3025769740343094	11.579206638038158	4.931388210505247
15000	0.2569580078125	6.6577791050076485	20.236351147294044	5.3634873777627945	12.997997343540192	3.3594332337379456	7.447969190776348	2.897538436576724	8.046194579452276	1.3170118629932404	11.66281896084547	5.015000533312559
16000	0.25665283203125	6.606501154601574	20.293402835726738	5.420539066195488	13.042411223053932	3.403847113251686	7.441608987748623	2.891178233548999	8.067802220582962	1.3386195041239262	11.680287435650826	5.032469008117914
17000	0.259765625	6.554640378803015	20.363017827272415	5.490154057741165	13.10928089171648	3.470716781914234	7.436235245317221	2.8858044911175966	8.08387366309762	1.3546909466385841	11.747887797653675	5.100069370120764
18000	0.26239013671875	6.508628323674202	20.377339899539948	5.5044761300086975	13.158546283841133	3.519982174038887	7.434428699314594	2.88399794511497	8.101045429706573	1.3718627132475376	11.774147190153599	5.1263287626206875
19000	0.26568603515625	6.464054271578789	20.56456235051155	5.691698580980301	13.235441386699677	3.5968772768974304	7.435936577618122	2.885505823418498	8.127310760319233	1.398128043860197	11.832452490925789	5.184634063392878
20000	0.26788330078125	6.425692640244961	20.58629597723484	5.71343220770359	13.25861307233572	3.620048962533474	7.433037366718054	2.8826066125184298	8.135831210762262	1.4066484943032265	11.859286822378635	5.211468394845724
21000	0.26904296875	6.393108241260052	20.56501817703247	5.692154407501221	13.327066294848919	3.688502185046673	7.441242936998606	2.8908121827989817	8.159620348364115	1.4304376319050789	11.898783951997757	5.250965524464846
22000	0.2738037109375	6.357731815427542	20.63834311068058	5.76547934114933	13.377099923789501	3.738535813987255	7.443145003169775	2.892714248970151	8.172622982412577	1.4434402659535408	11.93741424381733	5.289595816284418
23000	0.2752685546875	6.323731493204832	20.751566514372826	5.878702744841576	13.423143319785595	3.784579209983349	7.442635703831911	2.892204949632287	8.18447159230709	1.4552888758480549	11.970780052244663	5.322961624711752
24000	0.27874755859375	6.292548414319754	20.702475145459175	5.829611375927925	13.449778757989407	3.8112146481871605	7.448003143072128	2.8975723888725042	8.206022202968597	1.4768394865095615	11.985977403819561	5.33815897628665
25000	0.27972412109375	6.271047979593277	20.789516508579254	5.916652739048004	13.491520829498768	3.8529567196965218	7.4539062939584255	2.9034755397588015	8.222072340548038	1.4928896240890026	12.007776841521263	5.359958413988352
26000	0.2813720703125	6.240738555788994	20.942186906933784	6.0693231374025345	13.571427203714848	3.9328630939126015	7.459327787160873	2.9088970329612494	8.248710323125124	1.519527606666088	12.06982808560133	5.4220096580684185
27000	0.28094482421875	6.219094414263964	20.99130868911743	6.118444919586182	13.60947997868061	3.9709158688783646	7.46560837328434	2.915177619084716	8.255924198776484	1.5267414823174477	12.106098838150501	5.45828041061759
28000	0.28460693359375	6.193246513605118	20.998675882816315	6.125812113285065	13.625140212476254	3.9865761026740074	7.466757144778967	2.916326390579343	8.272761777043343	1.5435790605843067	12.110778324306011	5.4629598967731
29000	0.28515625	6.171827670186758	21.036682069301605	6.163818299770355	13.64799714833498	4.009433038532734	7.469659812748432	2.919229058548808	8.282289993017912	1.553107276558876	12.118321932852268	5.470503505319357
30000	0.2864990234375	6.152385246008635	21.092637687921524	6.219773918390274	13.722666151821613	4.084102042019367	7.477757811546326	2.9273270573467016	8.309005711227655	1.5798229947686195	12.174289651215076	5.526471223682165
31000	0.2889404296875	6.1296189203858376	21.133834540843964	6.260970771312714	13.73936863988638	4.100804530084133	7.479558225721121	2.9291274715214968	8.317346334457397	1.5881636179983616	12.190043583512306	5.542225155979395
32000	0.287353515625	6.115747570991516	21.135695978999138	6.262832209467888	13.742158882319927	4.103594772517681	7.482231322675943	2.9318005684763193	8.325341321527958	1.596158605068922	12.192472100257874	5.544653672724962
33000	0.28887939453125	6.093815494328737	21.19144405424595	6.318580284714699	13.782219968736172	4.143655858933926	7.485216595232487	2.9347858410328627	8.341962542384863	1.612779825925827	12.221127338707447	5.573308911174536
34000	0.28955078125	6.082679588347673	21.196837931871414	6.323974162340164	13.800158888101578	4.161594778299332	7.492363203316927	2.941932449117303	8.350845009088516	1.6216622926294804	12.239412121474743	5.591593693941832
35000	0.2919921875	6.067614808678627	21.218182429671288	6.3453186601400375	13.83949190378189	4.200927793979645	7.498151924461126	2.9477211702615023	8.365831065922976	1.6366483494639397	12.26532930880785	5.617510881274939
36000	0.2935791015625	6.0469120517373085	21.233038172125816	6.360174402594566	13.854567065834999	4.216002956032753	7.494069006294012	2.943638252094388	8.364039074629545	1.6348563581705093	12.267655543982983	5.619837116450071
37000	0.29632568359375	6.03045717254281	21.317851200699806	6.444987431168556	13.91671034693718	4.2781462371349335	7.503336932510138	2.9529061783105135	8.386697087436914	1.6575143709778786	12.314092457294464	5.666274029761553
38000	0.29779052734375	6.01471545919776	21.3578067868948	6.484943017363548	13.935859926044941	4.297295816242695	7.505692131817341	2.955261377617717	8.394122824072838	1.664940107613802	12.324180141091347	5.676361713558435
39000	0.29815673828125	6.00040864944458	21.327355697751045	6.454491928219795	13.91548877954483	4.276924669742584	7.501291777938604	2.9508610237389803	8.392262734472752	1.6630800180137157	12.30988235026598	5.6620639227330685
40000	0.29522705078125	5.9928513541817665	21.384826436638832	6.511962667107582	13.957700692117214	4.319136582314968	7.514820117503405	2.9643893633037806	8.407722432166338	1.678539715707302	12.336440674960613	5.688622247427702
41000	0.2978515625	5.978961445391178	21.420580491423607	6.547716721892357	13.9652758538723	4.326711744070053	7.51343684270978	2.9630060885101557	8.415317386388779	1.6861346699297428	12.34540719538927	5.6975887678563595
42000	0.29901123046875	5.961613986641169	21.455774798989296	6.582911029458046	14.016657076776028	4.378092966973782	7.520684145390987	2.9702533911913633	8.432957831770182	1.7037751153111458	12.3837308883667	5.735912460833788
43000	0.29974365234375	5.948815271258354	21.452823594212532	6.579959824681282	14.01526715606451	4.376703046262264	7.523722775280476	2.9732920210808516	8.43864506855607	1.7094623520970345	12.385533906519413	5.737715478986502
44000	0.29974365234375	5.94103729352355	21.469840332865715	6.596976563334465	14.013261750340462	4.374697640538216	7.524638090282679	2.9742073360830545	8.442461431026459	1.7132787145674229	12.386444628238678	5.738626200705767
45000	0.29974365234375	5.925996515899897	21.52009566128254	6.647231891751289	14.083576411008835	4.445012301206589	7.540263336151838	2.9898325819522142	8.468924846500158	1.7397421300411224	12.437732122838497	5.789913695305586
46000	0.30255126953125	5.913783699274063	21.505595356225967	6.632731586694717	14.060562312602997	4.421998202800751	7.535023238509893	2.9845924843102694	8.463470235466957	1.7342875190079212	12.410966269671917	5.763147842139006
47000	0.3023681640625	5.903838213533163	21.566667810082436	6.693804040551186	14.10391752421856	4.465353414416313	7.541716314852238	2.9912855606526136	8.478914983570576	1.7497322671115398	12.45368805527687	5.805869627743959
48000	0.30413818359375	5.8934633657336235	21.59778656065464	6.72492279112339	14.128392785787582	4.489828675985336	7.541102364659309	2.9906716104596853	8.48530900478363	1.7561262883245945	12.46953409165144	5.821715664118528
49000	0.30499267578125	5.883212272077799	21.609040528535843	6.736176759004593	14.140307277441025	4.501743167638779	7.548227056860924	2.9977963026612997	8.498432707041502	1.7692499905824661	12.47160018980503	5.8237817622721195
50000	0.30401611328125	5.873329289257526	21.596055328845978	6.723191559314728	14.162192575633526	4.52362846583128	7.553271535784006	3.002840781584382	8.505476213991642	1.7762934975326061	12.485050149261951	5.83723172172904
51000	0.3074951171875	5.863909915089607	21.601989209651947	6.729125440120697	14.171403296291828	4.532839186489582	7.555130690336227	3.0046999361366034	8.508565790951252	1.779383074492216	12.49851057678461	5.8506921492516994
52000	0.307373046875	5.851786583662033	21.63241909444332	6.759555324912071	14.161013290286064	4.522449180483818	7.5521009266376495	3.0016701724380255	8.506773754954338	1.7775910384953022	12.484054334461689	5.836235906928778
53000	0.30853271484375	5.8453789837658405	21.662868455052376	6.790004685521126	14.211290404200554	4.572726294398308	7.56142184138298	3.0109910871833563	8.524965669959784	1.7957829535007477	12.526368208229542	5.8785497806966305
