Steps	Accuracy	Loss	UniformXent	UniformKL	UnigramXent	UnigramKL	BidirBigramXent	BidirBigramKL	ForwardBigramXent	ForwardBigramKL	BackwardBigramXent	BackwardBigramKL
100	0.0	14.859077133238316	14.873755641281605	0.0008918717503547668	14.862347513437271	5.223783403635025	14.860112681984901	10.309681927785277	14.859415374696255	8.130232658237219	14.862335912883282	8.21451748535037
200	0.0	14.831268191337585	14.87382461130619	0.0009608417749404907	14.838545806705952	5.199981696903706	14.832712896168232	10.282282141968608	14.832905486226082	8.103722769767046	14.835436932742596	8.187618505209684
300	0.07391357421875	14.767336554825306	14.874262474477291	0.0013987049460411072	14.784090712666512	5.145526602864265	14.76972609013319	10.219295335933566	14.772186040878296	8.04300332441926	14.773657955229282	8.125839527696371
400	0.07208251953125	14.3792884349823	14.884211011230946	0.011347241699695587	14.461623959243298	4.8230598494410515	14.386534504592419	9.836103750392795	14.41080129891634	7.681618582457304	14.396811626851559	7.748993199318647
500	0.0721435546875	11.079410009086132	16.06879833340645	1.1959345638751984	11.505320861935616	1.8667567521333694	11.14779917895794	6.597368424758315	11.143066197633743	4.413883481174707	11.230477146804333	4.582658719271421
600	0.0716552734375	10.201728574931622	16.56246852874756	1.6896047592163086	10.639963142573833	1.0013990327715874	10.295399844646454	5.74496909044683	10.296249747276306	3.5670670308172703	10.394953787326813	3.7471353597939014
700	0.07080078125	9.790941499173641	16.91302527487278	2.04016150534153	10.245057463645935	0.606493353843689	9.888809159398079	5.338378405198455	9.894313246011734	3.165130529552698	10.017009995877743	3.3691915683448315
800	0.07659912109375	9.573985032737255	17.14245316386223	2.2695893943309784	10.039698168635368	0.40113405883312225	9.673502795398235	5.123072041198611	9.686146073043346	2.9569633565843105	9.821855127811432	3.1740367002785206
900	0.08660888671875	9.443442411720753	17.307962015271187	2.435098245739937	9.934426262974739	0.295862153172493	9.542473390698433	4.992042636498809	9.572925262153149	2.8437425456941128	9.709009744226933	3.0611913166940212
1000	0.0882568359375	9.358695834875107	17.426897078752518	2.5540333092212677	9.87480192631483	0.2362378165125847	9.458086095750332	4.907655341550708	9.506351672112942	2.777168955653906	9.637649610638618	2.989831183105707
1500	0.1038818359375	9.089068032801151	17.846082910895348	2.9732191413640976	9.855287857353687	0.2167237475514412	9.202081359922886	4.651650605723262	9.377347014844418	2.6481642983853817	9.50659865885973	2.8587802313268185
2000	0.1717529296875	8.679629500955343	17.88441564142704	3.01155187189579	10.100745148956776	0.46218103915452957	8.810903042554855	4.260472288355231	9.26723463088274	2.538051914423704	9.445946648716927	2.7981282211840153
2500	0.19317626953125	8.317192416638136	18.419129237532616	3.5462654680013657	10.741593062877655	1.103028953075409	8.48184109479189	3.931410340592265	9.414860777556896	2.6856780610978603	9.501741074025631	2.8539226464927197
3000	0.23388671875	7.949321690946817	18.818857938051224	3.9459941685199738	11.394941970705986	1.75637786090374	8.164709363132715	3.614278608933091	9.469745725393295	2.7405630089342594	9.616111695766449	2.9682932682335377
3500	0.2584228515625	7.543494012206793	19.234371826052666	4.361508056521416	11.957137569785118	2.318573459982872	7.819347348064184	3.26891659386456	9.48137529194355	2.7521925754845142	9.691019997000694	3.043201569467783
