Token	CountPerThousand	MeanSeqLen	UnidirectionalMeanSeqLen
▁the	38.694757844386224	48.439156462760465	23.860948566339918
▁two	0.9273979850227575	48.06293268661189	23.28074818980717
▁men	0.34855061454062086	46.66921194140553	23.29438531429631
▁exchanged	0.015666358050184775	38.131270627062705	17.664108910891088
▁glances	0.019143462270894102	35.99270762997974	16.849696151249155
.	59.134068350337316	34.572278369275104	24.78254638457273
▁even	1.0847673271991434	43.10395478610266	20.75646887373974
▁rowe	0.0013533561780976454	48.46609360076409	22.72683858643744
▁didn	1.505792944175062	38.24274505764295	16.697734627831714
'	19.378975975770484	39.283065041617306	18.474898582269542
t	7.5148288057237576	39.32641474967637	19.500127113236047
▁seem	0.11517746155624707	41.05680938218955	20.69425958139274
▁to	21.46645614097523	44.394172074028624	23.084079182072436
▁think	0.9485656648437002	35.83321318923309	16.428749552014672
▁it	8.875347301474545	40.0743575646404	19.679932364877214
▁was	10.288717781380113	43.9453234575644	20.354367082914347
▁funny	0.05374388077645071	35.642262735100296	17.773606234066094
▁complete	0.06449317397326067	49.21407383653345	26.404096684972142
▁and	20.103879819975603	47.69031730835382	24.525894794641037
▁when	2.022989576439083	45.47829973483275	20.230709561994825
▁time	1.5283113949665033	44.11315336985379	22.730170651523956
less	0.06257882774617125	48.316691797657654	25.97391196579431
▁moment	0.41625203114429066	40.95950948060094	20.06709085601784
▁over	1.67430970151851	43.00435420365938	22.378526982166292
,	44.138866385769816	46.115756345950075	22.37140910698785
▁mikey	0.002987207380691173	38.161834703591516	18.44699264387711
▁kissed	0.11385771307693696	35.73938513237364	17.084987057808455
▁her	9.655372942106405	40.051495988865966	21.049435533490733
▁one	2.2957522450062355	43.99092489701971	21.530761209593326
▁last	0.5419021686842503	43.383357226172556	21.64315786209578
▁then	1.8017811178119936	41.22147676043607	19.244670410555585
▁let	0.6539928923672432	37.267186480877555	17.892951872714693
▁go	0.9844212016385909	37.45558838204785	19.517643583077287
▁disappeared	0.059043556354483516	39.58914575944656	21.53708568676387
▁into	2.077241450508745	44.288080865153596	23.611470540833007
▁eternity	0.013432738684613877	41.415704387990765	23.60979599692071
▁leaving	0.1452292072912921	43.63014222902611	23.147328978051515
▁allie	0.009196876033586194	36.081658468025296	16.095432185523542
▁with	5.6567806445186495	46.084862033129596	24.078055548700398
▁five	0.19111534957045956	49.548855958282886	24.17628996368014
▁words	0.31819252170508955	39.34420142669115	20.210680684421767
▁she	8.392408547709207	38.3818561885015	16.649951683737797
▁knew	0.7239641212428705	40.69242896575859	18.387218300177473
▁would	2.1191101801790038	43.99477495589882	21.91211971121353
▁never	0.8351332184168054	39.12510099274709	19.32921468658971
▁forget	0.0787234492021785	37.41538183669113	19.41062016649426
:	0.5426027599435903	58.11671014233816	27.333795485676852
▁"	13.629896956947094	32.605340229548446	12.594121045531862
i	2.869813103618749	37.826243818068804	15.754988334279203
ll	0.9495726032035264	36.55587650758215	17.316253301026382
▁be	3.4534560341971052	42.40470036923987	22.271774391259513
▁waiting	0.17665240565762808	40.81781595738453	21.77254434232863
▁for	5.316480720030366	45.79497938366657	23.939161454130453
▁you	8.614744156849477	32.77185232999692	15.866159542805287
