Step	EvalLoss
100	9.69146728515625
200	9.16403865814209
300	8.852371215820312
400	8.56655502319336
500	8.258774757385254
600	7.903164386749268
700	7.566830158233643
800	7.2932000160217285
900	6.996869087219238
1000	6.830771446228027
1500	6.4647536277771
2000	6.1775803565979
2500	6.049715042114258
3000	5.807339668273926
3500	5.4426727294921875
4000	5.215724468231201
4500	5.00933837890625
5000	4.904399871826172
5500	4.732039451599121
6000	4.615650653839111
6500	4.565437316894531
7000	4.445018768310547
7500	4.394115924835205
8000	4.263599395751953
8500	4.199556350708008
9000	4.137707710266113
9500	4.044835090637207
10000	4.075477600097656
11000	3.936513900756836
12000	3.869385004043579
13000	3.775785446166992
14000	3.736445665359497
15000	3.6291916370391846
16000	3.636519432067871
17000	3.5881729125976562
18000	3.5143909454345703
19000	3.503620147705078
20000	3.4949264526367188
21000	3.4673614501953125
22000	3.4317240715026855
23000	3.4285776615142822
24000	3.3705360889434814
25000	3.294064521789551
26000	3.3173487186431885
27000	3.30289363861084
28000	3.291985034942627
29000	3.2380688190460205
30000	3.267970561981201
31000	3.258699655532837
32000	3.160283327102661
33000	3.251821517944336
34000	3.191354274749756
35000	3.108048439025879
36000	3.141416311264038
37000	3.175142765045166
38000	3.1634061336517334
39000	3.148829936981201
40000	3.1368579864501953
41000	3.0977396965026855
42000	3.1020009517669678
43000	3.0827443599700928
44000	3.003217935562134
45000	3.0477004051208496
46000	3.0851805210113525
47000	3.024714231491089
48000	3.0362884998321533
49000	3.0290682315826416
50000	3.077789068222046
51000	3.0250160694122314
52000	3.047473192214966
53000	3.033046245574951
54000	3.0698633193969727
55000	3.03749680519104
56000	3.041684865951538
57000	2.971393346786499
58000	2.9723212718963623
59000	2.9950857162475586
60000	2.9552133083343506
61000	2.961160182952881
62000	2.9652843475341797
63000	2.9672417640686035
64000	2.9560866355895996
65000	2.91721248626709
66000	2.927720785140991
67000	2.9437592029571533
68000	2.9290380477905273
69000	2.9101719856262207
70000	2.8820605278015137
71000	2.8634018898010254
72000	2.887526750564575
73000	2.882805347442627
74000	2.847540855407715
75000	2.8863046169281006
76000	2.86187744140625
77000	2.868743658065796
78000	2.803849220275879
79000	2.9092109203338623
80000	2.8430142402648926
81000	2.812760591506958
82000	2.8477489948272705
83000	2.8108761310577393
84000	2.8260254859924316
85000	2.819890260696411
86000	2.8596785068511963
87000	2.810634136199951
88000	2.799766778945923
89000	2.8175337314605713
90000	2.786954641342163
91000	2.786376714706421
92000	2.7889039516448975
93000	2.764272928237915
94000	2.7593722343444824
95000	2.761415719985962
96000	2.7360587120056152
97000	2.759430170059204
98000	2.7747669219970703
99000	2.718383550643921
100000	2.767644166946411
101000	2.7718913555145264
102000	2.761486768722534
103000	2.785482406616211
104000	2.7522802352905273
105000	2.7583723068237305
106000	2.7384378910064697
107000	2.7439632415771484
110000	2.700355291366577
120000	2.7050321102142334
130000	2.6712052822113037
140000	2.6563942432403564
150000	2.5939602851867676
160000	2.599480628967285
170000	2.582705497741699
180000	2.594287395477295
190000	2.564335823059082
200000	2.501558542251587
210000	2.531946897506714
220000	2.537916898727417
230000	2.4889984130859375
240000	2.4634742736816406
250000	2.4462034702301025
260000	2.4316844940185547
270000	2.4262266159057617
280000	2.398333787918091
290000	2.3926777839660645
300000	2.399846076965332
310000	2.4009504318237305
320000	2.402043581008911
330000	2.366197347640991
340000	2.35676908493042
350000	2.3455426692962646
360000	2.3370306491851807
370000	2.3442139625549316
380000	2.3286826610565186
390000	2.3098244667053223
400000	2.3311729431152344
410000	2.3345301151275635
420000	2.2702536582946777
430000	2.2819478511810303
440000	2.2577037811279297
450000	2.2640278339385986
460000	2.2725634574890137
470000	2.2656805515289307
480000	2.2419586181640625
490000	2.231686592102051
500000	2.24800705909729
510000	2.231567144393921
520000	2.1965887546539307
530000	2.219446897506714
540000	2.171668291091919
550000	2.171705722808838
560000	2.161463737487793
570000	2.1760101318359375
580000	2.1999754905700684
590000	2.1447386741638184
600000	2.164275646209717
610000	2.154238700866699
620000	2.1307296752929688
630000	2.096015691757202
640000	2.1188480854034424
650000	2.1221253871917725
660000	2.097174644470215
670000	2.09368634223938
680000	2.086286783218384
690000	2.1173360347747803
700000	2.082630157470703
710000	2.0922000408172607
720000	2.0692644119262695
730000	2.039393663406372
740000	2.089364528656006
750000	2.056621789932251
760000	2.0476725101470947
770000	2.050182342529297
780000	2.0560319423675537
790000	2.042182207107544
800000	2.012023687362671
810000	2.0222008228302
820000	2.0048985481262207
830000	2.0021989345550537
840000	1.9784150123596191
850000	2.0251667499542236
860000	2.0265355110168457
870000	2.042646646499634
880000	1.9950132369995117
890000	1.9577690362930298
900000	1.9728139638900757
910000	2.0087063312530518
920000	1.9756736755371094
930000	2.0002336502075195
940000	1.9948979616165161
950000	1.9371000528335571
960000	1.946649193763733
970000	1.9547778367996216
980000	1.955708384513855
990000	1.9823259115219116
1000000	1.9789708852767944
