Steps	Accuracy	Loss	UniformXent	UniformKL	UnigramXent	UnigramKL	BidirBigramXent	BidirBigramKL	ForwardBigramXent	ForwardBigramKL	BackwardBigramXent	BackwardBigramKL
100	0.07220458984375	13.96544074267149	15.098572596907616	0.22570882737636566	13.919943481683731	4.281379371881485	13.981319919228554	9.43088916502893	14.033445984125137	7.3042632676661015	13.942858837544918	7.295040410012007
200	0.0721435546875	13.125131912529469	15.127348870038986	0.2544851005077362	13.06511426717043	3.426550157368183	13.158218808472157	8.607788054272532	13.230530887842178	6.5013481713831425	13.099096812307835	6.451278384774923
300	0.072021484375	12.672355636954308	15.14971312135458	0.2768493518233299	12.598628394305706	2.96006428450346	12.71094985306263	8.160519098863006	12.782258100807667	6.053075384348631	12.641072981059551	5.99325455352664
400	0.07208251953125	12.26503349095583	15.18338768184185	0.3105239123106003	12.190173290669918	2.551609180867672	12.306988954544067	7.756558200344443	12.37991988658905	5.650737170130014	12.231929995119572	5.58411156758666
500	0.074462890625	11.80787756294012	15.226341776549816	0.35347800701856613	11.752308569848537	2.1137444600462914	11.855678476393223	7.305247722193599	11.9402976334095	5.211114916950464	11.788653403520584	5.140834975987673
600	0.07965087890625	11.296135604381561	15.319396622478962	0.44653285294771194	11.346414297819138	1.7078501880168915	11.353516899049282	6.803086144849658	11.489949747920036	4.760767031461	11.31416641175747	4.666347984224558
700	0.1016845703125	10.784638717770576	15.436161197721958	0.5632974281907082	10.968200631439686	1.3296365216374397	10.85232675820589	6.301896004006267	11.072547622025013	4.343364905565977	10.843834303319454	4.196015875786543
800	0.10821533203125	10.38509826362133	15.625383660197258	0.752519890666008	10.611887849867344	0.9733237400650978	10.46310119330883	5.912670439109206	10.72022645920515	3.9910437427461147	10.472853899002075	3.825035471469164
900	0.11004638671875	10.018923379480839	15.857035592198372	0.9841718226671219	10.353140138089657	0.7145760282874107	10.109025061130524	5.5585943069309	10.440908178687096	3.7117254622280598	10.159466862678528	3.5116484351456165
1000	0.11639404296875	9.784850262105465	16.120091438293457	1.247227668762207	10.159371331334114	0.520807221531868	9.884001411497593	5.333570657297969	10.235888116061687	3.5067053996026516	9.955307580530643	3.307489152997732
1500	0.13739013671875	9.318350605666637	17.01019921898842	2.1373354494571686	10.059049308300018	0.4204851984977722	9.481899373233318	4.931468619033694	10.033511206507683	3.304328490048647	9.704215906560421	3.0563974790275097
2000	0.15380859375	9.006247110664845	17.65119941532612	2.7783356457948685	10.558972172439098	0.9204080626368523	9.231018222868443	4.6805874686688185	10.375730372965336	3.6465476565063	9.599644057452679	2.9518256299197674
2500	0.1754150390625	8.753855474293232	17.962563455104828	3.089699685573578	10.922494232654572	1.2839301228523254	9.019833654165268	4.469402899965644	10.56000242382288	3.830819707363844	9.526174128055573	2.878355700522661
3000	0.21307373046875	8.305626709014177	18.013008430600166	3.1401446610689163	11.412657104432583	1.7740929946303368	8.586948327720165	4.036517573520541	10.679851293563843	3.950668577104807	9.320867918431759	2.6730494908988476
3500	0.2547607421875	7.721999879926443	18.300592437386513	3.4277286678552628	11.962698951363564	2.3241348415613174	8.060741923749447	3.510311169549823	10.514993116259575	3.785810399800539	9.416292160749435	2.768473733216524
4000	0.27716064453125	7.295679420232773	18.461136296391487	3.588272526860237	12.614230364561081	2.975666254758835	7.721740581095219	3.1713098268955946	10.598454006016254	3.8692712895572186	9.65468430519104	3.0068658776581287
4500	0.29498291015625	7.025596339255571	18.856043428182602	3.983179658651352	13.019786641001701	3.3812225311994553	7.558727867901325	3.008297113701701	10.743338078260422	4.014155361801386	9.782800517976284	3.1349820904433727
5000	0.3184814453125	6.808258570730686	19.353187456727028	4.480323687195778	13.351111754775047	3.712547644972801	7.460368677973747	2.909937923774123	10.859164409339428	4.129981692880392	9.946547478437424	3.2987290509045124
5500	0.330322265625	6.600119616836309	19.47442165017128	4.60155788064003	13.66563394665718	4.027069836854935	7.381056185811758	2.830625431612134	10.956256873905659	4.227074157446623	10.097884088754654	3.4500656612217426
6000	0.3388671875	6.435741078108549	19.760855123400688	4.887991353869438	13.966309644281864	4.327745534479618	7.365791641175747	2.815360886976123	11.145538732409477	4.416356015950441	10.198780998587608	3.550962571054697
6500	0.3453369140625	6.303886651992798	19.861023798584938	4.988160029053688	14.211193777620792	4.572629667818546	7.3569636680185795	2.8065329138189554	11.27901191264391	4.549829196184874	10.377512134611607	3.7296937070786953
7000	0.35687255859375	6.163552958518267	20.03416594862938	5.161302179098129	14.355775400996208	4.717211291193962	7.35252470895648	2.802093954756856	11.426563866436481	4.697381149977446	10.42675057798624	3.778932150453329
7500	0.36083984375	6.038700640201569	20.386577412486076	5.513713642954826	14.645220220088959	5.006656110286713	7.348040163516998	2.7976094093173742	11.528707690536976	4.79952497407794	10.611602894961834	3.9637844674289227
8000	0.369873046875	5.954260393977165	20.49012564122677	5.6172618716955185	14.715763479471207	5.077199369668961	7.363354850560427	2.8129240963608027	11.605120666325092	4.875937949866056	10.599057003855705	3.951238576322794
8500	0.37982177734375	5.871204107999802	20.76072306931019	5.887859299778938	14.91052420437336	5.271960094571114	7.433061055839062	2.8826303016394377	11.70870128273964	4.979518566280603	10.80294368416071	4.155125256627798
9000	0.38433837890625	5.779355362057686	21.17286418378353	6.300000414252281	15.216520689427853	5.5779565796256065	7.443742983043194	2.8933122288435698	12.003379322588444	5.274196606129408	10.872420728206635	4.224602300673723
9500	0.38824462890625	5.674752809107304	21.08262726664543	6.2097634971141815	15.274050794541836	5.63548668473959	7.4452887289226055	2.8948579747229815	11.953873112797737	5.224690396338701	11.004389427602291	4.35657100006938
