Step	EvalLoss
100	10.300155113483298
200	10.283552498653018
300	10.245525491648706
400	10.023193359375
500	8.070416154532596
600	7.465688245049838
700	7.174340083681304
800	7.01227174956223
900	6.928099007442079
1000	6.863314924568965
1500	6.716473283438847
2000	6.501233331088362
2500	6.3516998291015625
3000	6.144815905340787
3500	5.889805234711746
4000	5.701158194706358
4500	5.49273313325027
5000	5.282136062095905
5500	5.074059848127694
6000	4.908929759058459
6500	4.775417985587285
7000	4.657034512223868
7500	4.549375862910829
8000	4.463114771349677
8500	4.393178216342268
9000	4.334820451407597
9500	4.264519527040679
10000	4.221137737405711
11000	4.100754836509967
12000	4.012739510371767
13000	3.933947596056708
14000	3.868500282024515
15000	3.8088065837991647
16000	3.7397618787042024
17000	3.6893510489628234
18000	3.653004087250808
19000	3.6152933054956895
20000	3.577282872693292
21000	3.5406828255488954
22000	3.507576514934671
23000	3.4746472588900863
24000	3.440777745740167
25000	3.421787919669316
26000	3.3911111765894395
27000	3.3792998215247847
28000	3.34069982068292
29000	3.3217568233095367
30000	3.292951123467807
31000	3.2797506924333244
32000	3.2618366109913794
33000	3.2452621459960938
34000	3.2249006074050377
35000	3.2044896092908135
36000	3.1933685828899514
37000	3.1779711493130387
38000	3.163356123299434
39000	3.157763514025458
40000	3.141447133031385
41000	3.1275605826542296
42000	3.102063935378502
43000	3.0995491290914603
44000	3.0871813543911637
45000	3.074895135287581
46000	3.063224529397899
47000	3.057258869039601
48000	3.038030163995151
49000	3.0215169972386855
50000	3.0171856058054956
51000	3.0091657967403016
52000	2.997515185125943
53000	2.991838915594693
54000	2.985491522427263
55000	2.974323404246363
56000	2.964308903135102
57000	2.954266778353987
58000	2.9490198595770476
59000	2.944323309536638
60000	2.9369417387863685
61000	2.927289502374057
62000	2.9271779553643587
63000	2.9160556135506464
64000	2.9072373488853716
65000	2.8980799707873115
66000	2.890002546639278
67000	2.889142792800377
68000	2.884322330869477
69000	2.875141275340113
70000	2.865795267039332
71000	2.858976692988955
72000	2.8581132559940734
73000	2.8511631406586746
74000	2.843549531081627
75000	2.842357240874192
76000	2.831425633923761
77000	2.8240198595770476
78000	2.815506770693023
79000	2.8085363979997306
80000	2.808196758401805
81000	2.7973606504242996
82000	2.795343859442349
83000	2.792090317298626
84000	2.7879257202148438
85000	2.784185475316541
86000	2.7755279541015625
87000	2.7708458736025054
88000	2.767473944302263
89000	2.753656058475889
90000	2.752295132341056
91000	2.7514501111260774
92000	2.7474694087587554
93000	2.7467446162782867
94000	2.7395295767948546
95000	2.735743292446794
96000	2.733978534566945
97000	2.7330117061220367
98000	2.73052820666083
99000	2.725171319369612
100000	2.7164582877323546
110000	2.6811289294012663
120000	2.6475246034819504
130000	2.621980601343615
140000	2.592145459405307
150000	2.5683012337520204
160000	2.550934100973195
170000	2.5358176395810883
180000	2.515095151703933
190000	2.4951311308762123
200000	2.4781346814385774
210000	2.4729153863314925
220000	2.459173268285291
230000	2.4411776312466325
240000	2.437920405946929
250000	2.420851871885102
260000	2.416095339018723
270000	2.4061689705684266
280000	2.395610940867457
290000	2.382014570565059
300000	2.37792810900458
310000	2.373993446087015
320000	2.3625893428407867
330000	2.3577470450565734
340000	2.344274060479526
350000	2.3392778593918373
360000	2.337047182280442
370000	2.3342200969827585
380000	2.3265888608735183
390000	2.3185998324690194
400000	2.3126323305327317
410000	2.312779656771956
420000	2.307299909920528
430000	2.2975455974710397
440000	2.2981401640793373
450000	2.2902305866109915
460000	2.288480824437635
470000	2.28674342714507
480000	2.280552831189386
490000	2.27447509765625
500000	2.273717419854526
510000	2.2747879028320312
520000	2.2670009218413254
530000	2.266890690244477
540000	2.2585730717099946
550000	2.2584667863516974
560000	2.2546891837284484
570000	2.2578335466056036
580000	2.252446404818831
590000	2.247223163473195
600000	2.2454189432078393
610000	2.246649380387931
620000	2.243335066170528
630000	2.2379689709893587
640000	2.239423554519127
650000	2.2340251001818427
660000	2.2346088804047683
670000	2.2340058951542296
680000	2.2302785413018587
690000	2.2265959114863954
700000	2.227021842167295
710000	2.2293809035728716
720000	2.22509607775458
730000	2.224114779768319
740000	2.2190320245150863
750000	2.219573711526805
760000	2.216937098009833
770000	2.2198657331795526
780000	2.216880272174704
790000	2.213097407900054
800000	2.213234210836476
810000	2.213336023791083
820000	2.2117669993433458
830000	2.210135887409079
840000	2.2096789129849137
850000	2.207325376313308
860000	2.207328533304149
870000	2.20758214490167
880000	2.2053861946895204
890000	2.2040000126279633
900000	2.20434728162042
910000	2.206079285720299
920000	2.2042901927027208
930000	2.203997513343548
940000	2.202093584784146
950000	2.2022905020878234
960000	2.2009114232556573
970000	2.201086504706021
980000	2.2004470825195312
990000	2.20044129470299
1000000	2.2002228046285697
